2017-12-30 20:27:36.847329 - BUY, Price: 0.01672473
2017-12-30 20:27:39.508004 - BUY, Price: 0.01672473
2017-12-30 20:27:42.171434 - BUY, Price: 0.01672473
2017-12-30 20:27:44.932666 - BUY, Price: 0.01672600
2017-12-30 20:27:47.517251 - BUY, Price: 0.01672600
2017-12-30 20:27:50.961320 - BUY, Price: 0.01672600
2017-12-30 20:27:53.520384 - BUY, Price: 0.01672600
2017-12-30 20:27:56.080391 - BUY, Price: 0.01672600
2017-12-30 20:27:58.697477 - BUY, Price: 0.01672600
2017-12-30 20:28:01.422738 - BUY, Price: 0.01672600
2017-12-30 20:28:03.947391 - BUY, Price: 0.01672600
2017-12-30 20:28:07.700691 - BUY, Price: 0.01672600
2017-12-30 20:28:10.412892 - BUY, Price: 0.01672600
2017-12-30 20:28:12.936019 - BUY, Price: 0.01672600
2017-12-30 20:28:18.571132 - BUY, Price: 0.01672601
2017-12-30 20:28:21.116541 - BUY, Price: 0.01672601
